X,Y,Z
-48.02939762738818,46.52883176386564,0.0
-38.621273175181884,46.333149044368724,0.0
-29.077123403167054,46.174252858259905,0.0
-19.436264454135074,46.05744203426224,0.0
-9.73331248381033,45.98610379836077,0.0
-4.263256414560601e-14,45.962122825190704,0.0
9.733312483810248,45.986103798360915,0.0
19.43626445413499,46.05744203426218,0.0
29.077123403167025,46.17425285825988,0.0
38.621273175181784,46.33314904436861,0.0
48.02939762738808,46.52883176386561,0.0
-49.190063344078226,37.51468107897372,0.0
-39.5435720874971,37.34577584107899,0.0
-29.765256210326758,37.209363255864275,0.0
-19.893325289267086,37.10943825332825,0.0
-9.961337719437195,37.04854547265498,0.0
-4.440892098500626e-14,37.02809706342339,0.0
9.961337719437136,37.04854547265509,0.0
19.893325289267008,37.109438253328136,0.0
29.765256210326665,37.20936325586419,0.0
39.543572087496955,37.34577584107893,0.0
49.19006334407807,37.51468107897364,0.0
-50.087514335064085,28.299837940880053,0.0
-40.256579384739624,28.166119947619165,0.0
-30.297159219828995,28.05851717233017,0.0
-20.246582016973562,27.97988602891766,0.0
-10.137565078492157,27.93204043549997,0.0
-3.197442310920451e-14,27.915984767028846,0.0
10.13756507849211,27.93204043550014,0.0
20.24658201697346,27.97988602891752,0.0
30.29715921982896,28.05851717233014,0.0
40.25657938473954,28.16611994761911,0.0
50.087514335063986,28.299837940880025,0.0
-50.72574728609588,18.94243974416986,0.0
-40.76357293376916,18.850000907017858,0.0
-30.675336192896903,18.775789369320535,0.0
-20.497724853495075,18.72164373877476,0.0
-10.262845872243219,18.688728869191777,0.0
-2.842170943040401e-14,18.677688627946452,0.0
10.262845872243254,18.688728869192005,0.0
20.49772485349497,18.721643738774702,0.0
30.675336192896875,18.775789369320535,0.0
40.763572933769,18.8500009070178,0.0
50.72574728609575,18.942439744169803,0.0
-51.10757411510099,9.493572900515602,0.0
-41.066857343472705,9.446376786708015,0.0
-30.901546575135036,9.408536720162942,0.0
-20.647941124436525,9.380952477581985,0.0
-10.337777994715639,9.364193275438396,0.0
-4.263256414560601e-14,9.358573400358978,0.0
10.337777994715811,9.364193275438652,0.0
20.647941124436368,9.380952477581928,0.0
30.901546575134983,9.408536720162914,0.0
41.066857343472506,9.446376786707987,0.0
51.1075741151008,9.493572900515574,0.0
-51.23466507233965,2.842170943040401e-14,0.0
-41.1678009103253,2.842170943040401e-14,0.0
-30.97683463358815,2.842170943040401e-14,0.0
-20.697935365430936,2.842170943040401e-14,0.0
-10.362716174970204,2.842170943040401e-14,0.0
3.409591643688259e-06,6.81918351119748e-07,0.0
10.362716174970643,2.842170943040401e-14,0.0
20.69793536543064,2.842170943040401e-14,0.0
30.976834633588016,2.842170943040401e-14,0.0
41.16780091032514,2.842170943040401e-14,0.0
51.23466507233944,2.842170943040401e-14,0.0
-51.107574115101144,-9.493572900515602,0.0
-41.06685734347286,-9.446376786708015,0.0
-30.90154657513533,-9.408536720163028,0.0
-20.64794112443682,-9.380952477582127,0.0
-10.337777994715998,-9.364193275438737,0.0
-4.263256414560601e-14,-9.358573400359688,0.0
10.337777994716063,-9.364193275438879,0.0
20.647941124436674,-9.38095247758207,0.0
30.90154657513521,-9.408536720163,0.0
41.06685734347272,-9.446376786708015,0.0
51.107574115101,-9.493572900515602,0.0
-50.725747286095995,-18.942439744169803,0.0
-40.76357293376924,-18.85000090701783,0.0
-30.675336192897067,-18.77578936932059,0.0
-20.49772485349519,-18.721643738774816,0.0
-10.262845872243318,-18.68872886919189,0.0
-4.263256414560601e-14,-18.677688627946736,0.0
10.262845872243336,-18.68872886919212,0.0
20.497724853495075,-18.72164373877476,0.0
30.675336192896975,-18.775789369320506,0.0
40.763572933769154,-18.8500009070178,0.0
50.72574728609581,-18.942439744169747,0.0
-50.087514335064114,-28.299837940880025,0.0
-40.25657938473965,-28.166119947619165,0.0
-30.297159219829016,-28.0585171723302,0.0
-20.24658201697359,-27.979886028917633,0.0
-10.137565078492175,-27.93204043549997,0.0
-3.197442310920451e-14,-27.915984767028846,0.0
10.137565078492127,-27.93204043550014,0.0
20.24658201697348,-27.97988602891752,0.0
30.297159219828988,-28.05851717233014,0.0
40.25657938473957,-28.16611994761911,0.0
50.087514335064014,-28.299837940879996,0.0
-49.19006334407828,-37.514681078973695,0.0
-39.543572087497154,-37.34577584107896,0.0
-29.765256210326807,-37.209363255864275,0.0
-19.893325289267125,-37.10943825332828,0.0
-9.96133771943721,-37.04854547265498,0.0
-4.440892098500626e-14,-37.02809706342342,0.0
9.961337719437154,-37.04854547265512,0.0
19.89332528926705,-37.109438253328165,0.0
29.765256210326722,-37.20936325586416,0.0
39.54357208749701,-37.345775841078904,0.0
49.19006334407811,-37.51468107897361,0.0
-48.02939762738821,-46.52883176386564,0.0
-38.621273175181926,-46.33314904436867,0.0
-29.07712340316709,-46.174252858259905,0.0
-19.43626445413511,-46.057442034262294,0.0
-9.733312483810348,-45.98610379836077,0.0
-4.263256414560601e-14,-45.962122825190704,0.0
9.73331248381027,-45.986103798360915,0.0
19.436264454135024,-46.05744203426218,0.0
29.077123403167068,-46.17425285825988,0.0
38.62127317518183,-46.33314904436864,0.0
48.02939762738812,-46.52883176386558,0.0
